Cipő 	Ajtó 	Szemetes 	Karácsonyfa
Televízió 	Hold 	Szemek 	Pók
Hó 	Hordó 	Ing 	Szomorú
Baba 	Pohár 	Hal 	Szendvics
Sütemény 	Zokni 	Könyv 	Nadrág
Boldog 	Tető 	Cukorka 	Gördeszka
Nap 	Víz 	Ágy 	Kalap
Kakas 	Ruha 	Repülőgép 	Buborékok
Óceán 	Labda 	Banán 	Pillangó
Muffin 	Szivárvány 	Szőlő 	Pizza
Ház 	Alvás 	Tojás 	Madár
Polip 	Csillag 	Kávé 	Alma
Postafiók 	Orr 	Fa 	Macska
Láb 	Ajkak 	Felhő 	Narancs
Lista 	Tűzoltó 	Napszemüveg
Palacsinta 	Szárny 	Gumimackó
Vihar 	Szemét 	Vakáció
Párnahuzat 	Rendőrség 	Hálózsák
Könyök 	Íróasztal 	Tél
Rízs 	Laptop 	Törökország
Zászló 	Könyvespolc 	Haj 	Nyakkendő
Tanya 	Homok 	Óra
Kenyérpirító 	Szünet 	Fogszabályozó
Internet 	Metró 	Tanár
Töklámpás 	Mennyei 	Sátor
Óra 	Diák 	Hableány
Hamburger 	Város 	Séf
Hagyma 	Ketchup 	Vattacukor
Corndog 	Ramen 	Nyalóka
Saláta 	Sajttorta 	Narancslé
Szalonna 	Víz 	Oreó
Aranyhal 	Chips 	Bab
Cseresznye 	Kukorica 	Burger
Fánk 	Taco 	Hasábburgonya
Franciapirítós 	Savanyúság 	Csokoládé
Burgonya 	Padlizsán 	Tej
Turmix 	Spagetti 	Halrudacskák
Lekvároskenyér 	Csirkeszárny 	Csirkefalat
Pulyka 	CocaCola 	Zabpehely
Vaj 	Gófri 	BBQ 	Sültbab
Spanyolország 	Ország 	Kontinens
Folyó 	Tenger 	Csendes-óceán
India 	Ázsia 	Indiai-óceán
Új-Zéland 	Afganisztán 	Kanada
Alaszka 	Antarktisz 	Ausztrália
Japán 	Kína 	Oroszország
Velence 	Egyiptom 	Anglia
London 	Szuezi-csatorna 	Skócia
USA 	NewYork 	Thaiföld
Szingapúr 	Izland 	Grönland
Visz 	Ugrik 	Fut
Átugrik 	Repül 	Úszik
Evez 	Lendít 	Inni
Elkapni 	Öklendezni 	Tanulni
Szeretni 	Enni 	Nézni
Írni 	Olvasni 	Letölteni
Kiabálni 	Irogatni 	Aludni
Völgy 	Párizs 	Tengerpart
Hegy 	Ház 	Kórház
Sivatag 	Mars 	Könyvtár
Padlás 	Északi-sark 	Pályaudvar
DisneyWorld 	Svájc 	Farm
Barcelona 	Berlin 	Budapest
Labdarugás 	Kosárlabda 	Tenisz
Golf 	Baseball 	Futás
Röplabda 	Tollaslabda 	Sakk
Ping-Pong 	Póker 	Krikett
Jégkorong 	Rúdugrás 	Szörf
Lovaglás 	Videójáték
Torna 	Jégkorong
